x,xi,k,epsilon
0.4,2.0,0.43527528164806206,26.11651689888372
0.40869565217391307,2.0869565217391304,0.4136032268426215,23.782185543450733
0.4173913043478261,2.1739130434782608,0.39383054643063836,21.739446162971237
0.42608695652173917,2.2608695652173916,0.3757243924453683,19.942294675946464
0.4347826086956522,2.347826086956522,0.3590879994332976,18.35338663770187
0.4434782608695652,2.434782608695652,0.34375400822885976,16.94216183413666
0.4521739130434783,2.5217391304347827,0.3295792119286352,15.683424567638495
0.4608695652173913,2.6086956521739126,0.3164403839297335,14.55625766076774
0.46956521739130436,2.6956521739130435,0.304230937562549,13.543183672139275
0.4782608695652174,2.782608695652174,0.2928582308200435,12.629511204114374
0.48695652173913045,2.869565217391304,0.2822413758801651,11.802821173170539
0.4956521739130435,2.9565217391304346,0.27230944685157926,11.052559901622923
0.5043478260869565,3.0434782608695645,0.263000004066012,10.369714446031331
0.5130434782608696,3.130434782608696,0.2542578717906353,9.746551751974351
0.5217391304347826,3.2173913043478257,0.24603412018467358,9.17640772580674
0.5304347826086957,3.3043478260869565,0.23828521290692098,8.65351562661976
0.5391304347826087,3.3913043478260865,0.23097228987369317,8.172865641684524
0.5478260869565218,3.4782608695652177,0.22406056090306897,7.730089351155876
0.5565217391304348,3.5652173913043477,0.217518790821818,7.321364178880701
0.5652173913043479,3.6521739130434785,0.21131886039425765,6.943333984382749
0.5739130434782609,3.7391304347826084,0.20543539040775396,6.5930427619232645
0.5826086956521739,3.8260869565217384,0.19984541860436558,6.2678790380460105
0.591304347826087,3.9130434782608696,0.19452812102261505,5.965529044693526
0.6000000000000001,4.000000000000001,0.18946457081379972,5.683937124413989
0.6086956521739131,4.086956521739131,0.18463752880463277,5.421272122348791
0.6173913043478261,4.173913043478261,0.1800312610544694,5.175898755315993
0.6260869565217392,4.260869565217392,0.17563137944888788,4.9463531354992885
0.6347826086956522,4.3478260869565215,0.17142470201920632,4.731321775730093
0.6434782608695653,4.434782608695652,0.16739913020870287,4.529623523294312
0.6521739130434783,4.521739130434782,0.16354354074370472,4.340193965890624
0.6608695652173913,4.608695652173912,0.15984769012932648,4.162071931669255
0.6695652173913044,4.695652173913043,0.1563021300897678,3.994387768960731
0.6782608695652175,4.782608695652175,0.15289813252309706,3.836353143306797
0.6869565217391305,4.869565217391305,0.14962762274946714,3.6872521320404394
0.6956521739130435,4.956521739130435,0.14648312000705319,3.546433431749707
0.7043478260869566,5.0434782608695645,0.14345768429758304,3.4133035229424924
0.7130434782608697,5.130434782608697,0.140544868807938,3.287320660253463
0.7217391304347827,5.217391304347827,0.1377386772398356,3.167989576516217
0.7304347826086957,5.304347826086957,0.13503352546925018,3.05485680569779
0.7391304347826086,5.391304347826087,0.1324242070335925,2.9475065436509285
0.7478260869565218,5.478260869565217,0.1299058620098985,2.8455569773596805
0.7565217391304349,5.565217391304349,0.1274739489031476,2.7486570232241188
0.7652173913043478,5.6521739130434785,0.1251242192118046,2.6564834232660046
0.7739130434782608,5.739130434782608,0.12285269437897545,2.5687381551967583
0.782608695652174,5.826086956521738,0.12065564487320288,2.4851461182838794
0.791304347826087,5.913043478260871,0.11852957117374913,2.4054530620554955
0.8,6.000000000000001,0.11647118646192986,2.329423729238596
0.808695652173913,6.086956521739131,0.11447740084327482,2.256840188053131
0.8173913043478261,6.173913043478261,0.11254530694550025,2.1875003321801447
0.8260869565217391,6.260869565217391,0.11067216675490567,2.1212165294690246
0.8347826086956522,6.347826086956522,0.10885539956921966,2.0578144028153846
0.8434782608695652,6.434782608695652,0.10709257095841691,1.99713172868399
0.8521739130434782,6.521739130434782,0.1053813826368719,1.9390174405184424
0.8608695652173913,6.608695652173912,0.10371966316062849,1.8833307258114118
0.8695652173913044,6.695652173913045,0.10210535937273305,1.8299402069398898
0.8782608695652174,6.782608695652175,0.10053652852766959,1.7787231970279995
0.8869565217391304,6.869565217391305,0.09901133103308303,1.7295650231095505
0.8956521739130435,6.956521739130435,0.09752802375330613,1.68235840974453
0.9043478260869565,7.0434782608695645,0.09608495382481406,1.63700291701535
0.9130434782608696,7.130434782608696,0.09468055293871272,1.5934044275051646
0.9217391304347826,7.217391304347826,0.09331333204979676,1.551474677454451
0.9304347826086957,7.304347826086956,0.09198187647565803,1.511130827814381
0.9391304347826087,7.391304347826086,0.09068484135284492,1.4722950713755991
0.9478260869565218,7.478260869565219,0.08942094742021468,1.4348942725569325
0.9565217391304348,7.565217391304349,0.08818897710243288,1.3988596367972106
0.9652173913043478,7.6521739130434785,0.08698777086909007,1.3641264068107304
0.9739130434782609,7.739130434782608,0.08581622384716471,1.3306335832481717
0.9826086956521739,7.826086956521738,0.08467328266658708,1.2983236675543348
0.991304347826087,7.91304347826087,0.08355794252048171,1.2671424250358756
1.0,8.0,0.0824692444233059,1.2370386663495878
1.008695652173913,8.086956521739129,0.08140627265157996,1.2079640457976377
1.017391304347826,8.17391304347826,0.08036815235323873,1.1798728749730787
1.0260869565217392,8.260869565217392,0.0793540473128381,1.1527219504391213
1.0347826086956522,8.347826086956522,0.07836315786093995,1.1264703942510115
1.0434782608695654,8.434782608695654,0.07739471891698427,1.101079506241631
1.0521739130434784,8.521739130434783,0.07644799815585233,1.076512627092614
1.0608695652173914,8.608695652173914,0.07552229428913335,1.0527350113030702
1.0695652173913044,8.695652173913043,0.07461693545284515,1.0297137092492625
1.0782608695652174,8.782608695652174,0.07373127769402714,1.0074174576015584
1.0869565217391304,8.869565217391303,0.07286470354923377,0.9858165774308094
1.0956521739130434,8.956521739130434,0.07201662070850999,0.9648828793955705
1.1043478260869566,9.043478260869566,0.07118646075893738,0.9445895754551301
1.1130434782608696,9.130434782608695,0.07037367800229916,0.9249111966016457
